person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,pd
25,47000,RENT,6.0,MEDICAL,B,3500,9.99,0,0.07,N,3,0.1803537954041953
25,36000,OWN,2.0,MEDICAL,A,8400,5.99,0,0.23,N,3,0.03543746992112362
24,30000,MORTGAGE,4.0,MEDICAL,D,10000,15.99,1,0.33,Y,2,0.9596483258681493
25,36000,MORTGAGE,0.0,MEDICAL,A,5600,7.49,0,0.16,N,4,0.04992188441842778
26,36000,MORTGAGE,2.0,PERSONAL,A,7000,7.49,0,0.19,N,2,0.033159549718650705
23,47496,RENT,7.0,DEBTCONSOLIDATION,B,3500,12.69,0,0.07,N,3,0.1901863554128315
23,48000,RENT,7.0,DEBTCONSOLIDATION,C,3500,13.98,0,0.07,N,4,0.23921408748767833
25,48000,RENT,8.0,DEBTCONSOLIDATION,C,3500,13.16,0,0.07,N,3,0.24113367089227078
23,36000,MORTGAGE,7.0,EDUCATION,B,2000,11.49,0,0.06,N,2,0.032053264262760346
23,48562,RENT,4.0,VENTURE,A,3500,8.0,0,0.07,N,2,0.041878114837663016
22,50000,RENT,2.0,VENTURE,B,3500,,0,0.07,N,3,0.0719123023371753
22,36000,MORTGAGE,0.0,EDUCATION,B,12375,,0,0.34,N,3,0.4074104678275649
22,50250,RENT,6.0,VENTURE,A,3500,7.14,0,0.07,N,4,0.030817654968411236
22,51996,RENT,4.0,PERSONAL,B,3500,9.62,0,0.07,N,2,0.10580225143018734
23,36000,MORTGAGE,7.0,EDUCATION,B,11000,,0,0.31,N,3,0.10487123693671957
24,45996,RENT,9.0,PERSONAL,B,3500,12.21,1,0.08,N,2,0.11266531088025313
24,52000,RENT,4.0,DEBTCONSOLIDATION,A,3500,7.68,0,0.07,N,2,0.09535025178799512
23,52692,RENT,4.0,EDUCATION,C,3500,12.23,0,0.07,Y,4,0.10108904097929511
23,36000,MORTGAGE,6.0,PERSONAL,C,14000,12.99,0,0.39,Y,3,0.4769082242486214
25,54084,RENT,5.0,HOMEIMPROVEMENT,B,3500,9.25,0,0.06,N,2,0.14272955939605886
21,36000,MORTGAGE,5.0,PERSONAL,A,2800,6.99,0,0.08,N,2,0.02207869197200356
21,30000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,13250,13.99,1,0.44,N,3,0.7592656073770213
24,55000,RENT,0.0,DEBTCONSOLIDATION,B,3500,8.88,0,0.06,N,4,0.17838241673772567
22,55000,RENT,7.0,MEDICAL,B,3500,9.99,0,0.06,N,3,0.15488394041457196
23,56000,RENT,7.0,DEBTCONSOLIDATION,C,3500,,0,0.06,Y,3,0.18744331139694437
22,57000,RENT,1.0,EDUCATION,C,3500,12.61,0,0.06,Y,2,0.10882532235255205
26,51000,RENT,3.0,DEBTCONSOLIDATION,D,3500,13.24,1,0.07,Y,4,0.6615474514631975
26,58000,RENT,0.0,HOMEIMPROVEMENT,A,3500,8.59,0,0.06,N,2,0.08511405161950661
24,59000,RENT,5.0,MEDICAL,A,3500,8.9,0,0.06,N,3,0.07839357610944864
22,60000,RENT,5.0,VENTURE,A,3500,5.42,0,0.06,N,2,0.029980319799775383
22,36000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,5975,7.42,0,0.17,N,4,0.04598357119929289
24,60000,RENT,5.0,EDUCATION,B,3500,11.86,0,0.06,N,4,0.06849506492865849
24,36000,OWN,,EDUCATION,A,6500,5.42,0,0.18,N,2,0.012805069021186296
23,36000,MORTGAGE,7.0,PERSONAL,A,7200,5.42,0,0.2,N,2,0.028492579155967108
21,36000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,4000,5.99,0,0.11,N,4,0.03595630742063308
25,36000,MORTGAGE,3.0,MEDICAL,A,5300,7.49,0,0.15,N,3,0.03700506247447252
25,56400,RENT,2.0,DEBTCONSOLIDATION,D,3500,15.62,1,0.06,N,4,0.6939503425104437
22,36000,MORTGAGE,1.0,MEDICAL,A,3500,,0,0.1,N,2,0.043816506630193305
23,63816,RENT,4.0,EDUCATION,B,3500,9.63,0,0.05,N,3,0.05139544349394479
24,65000,RENT,3.0,EDUCATION,A,3500,7.74,0,0.05,N,3,0.025229355596815366
25,59000,RENT,3.0,MEDICAL,D,3500,15.65,1,0.06,N,2,0.6643490278071439
23,36000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,6400,11.49,0,0.18,N,3,0.09118531213918644
23,30000,MORTGAGE,6.0,HOMEIMPROVEMENT,A,6725,6.99,1,0.22,N,3,0.08096551088392011
25,66660,RENT,0.0,EDUCATION,B,3500,,0,0.05,N,3,0.056446365783411535
23,36000,MORTGAGE,4.0,PERSONAL,C,5000,14.79,0,0.14,N,2,0.06065987043873973
24,36000,MORTGAGE,8.0,PERSONAL,C,3500,13.06,0,0.1,Y,3,0.050208959789181704
23,70000,RENT,1.0,EDUCATION,A,3500,5.42,0,0.05,N,3,0.028621184336321475
23,64000,RENT,7.0,DEBTCONSOLIDATION,C,3500,14.72,1,0.05,Y,2,0.133794675997839
23,74000,RENT,1.0,EDUCATION,C,3500,12.87,0,0.05,Y,3,0.06464688739944834
26,68004,RENT,10.0,DEBTCONSOLIDATION,D,3500,15.28,1,0.05,Y,3,0.5523811623607215
24,74400,RENT,1.0,EDUCATION,A,3500,7.29,0,0.05,N,4,0.02490941566629528
23,74880,RENT,3.0,EDUCATION,B,3500,11.11,0,0.05,N,4,0.04283372054556585
22,75000,RENT,3.0,EDUCATION,A,3500,7.29,0,0.05,N,2,0.02363695630862898
25,77000,RENT,2.0,DEBTCONSOLIDATION,A,3500,7.9,0,0.05,N,4,0.05653276362734808
23,78000,RENT,1.0,VENTURE,B,3500,9.96,0,0.04,N,4,0.038247555945711956
23,81000,RENT,5.0,EDUCATION,B,3500,10.75,0,0.04,N,3,0.0428580592725111
25,83500,RENT,9.0,HOMEIMPROVEMENT,C,3500,,0,0.04,N,2,0.10999951207589653
24,78000,RENT,1.0,DEBTCONSOLIDATION,B,3500,11.83,1,0.04,N,3,0.11051785279907976
24,36000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,7000,11.11,0,0.19,N,4,0.0957671065106209
21,36000,MORTGAGE,1.0,MEDICAL,A,4000,5.42,0,0.11,N,3,0.0395319379357547
23,94000,RENT,7.0,MEDICAL,B,3500,11.49,0,0.04,N,3,0.06052001545014918
23,98000,RENT,5.0,DEBTCONSOLIDATION,A,3500,8.07,0,0.04,N,3,0.03442799298391511
21,110000,RENT,0.0,EDUCATION,C,3500,13.99,0,0.03,Y,3,0.047109710519075094
23,26000,RENT,2.0,MEDICAL,A,3525,6.62,0,0.14,N,4,0.22417404603128063
22,36000,MORTGAGE,6.0,EDUCATION,A,12000,7.29,0,0.33,N,3,0.20249096535196387
24,36000,RENT,5.0,VENTURE,D,3525,14.59,0,0.1,Y,3,0.43861161972762897
26,45000,RENT,6.0,MEDICAL,A,3575,,0,0.08,N,2,0.1011772744653196
22,10800,RENT,,VENTURE,C,3600,12.23,1,0.33,Y,3,0.792497906015276
21,36000,OWN,,EDUCATION,A,11000,5.42,0,0.31,N,3,0.035482996763097185
25,12000,RENT,,DEBTCONSOLIDATION,B,3600,9.62,1,0.3,N,2,0.6722591616492841
21,12120,RENT,0.0,DEBTCONSOLIDATION,A,3600,8.32,1,0.3,N,2,0.5457022933892482
22,36000,OWN,6.0,EDUCATION,B,7500,9.63,0,0.21,N,2,0.026147011977640286
26,36000,MORTGAGE,10.0,VENTURE,A,9000,5.42,0,0.25,N,4,0.01841664981056282
23,30000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,2200,,1,0.07,N,3,0.06360032487239622
22,36000,MORTGAGE,0.0,PERSONAL,A,2000,,0,0.06,N,4,0.026105575424733837
21,15000,RENT,0.0,PERSONAL,D,3600,15.95,1,0.24,N,2,0.8650143543974729
23,36000,MORTGAGE,2.0,VENTURE,B,12000,10.74,0,0.33,N,4,0.30245151873664494
22,18000,RENT,0.0,MEDICAL,B,3600,,1,0.2,N,3,0.49033950141663385
22,18000,RENT,0.0,HOMEIMPROVEMENT,A,3600,6.91,1,0.2,N,3,0.3069702233591272
22,18700,RENT,3.0,EDUCATION,A,3600,8.9,1,0.19,N,4,0.15675062107679494
24,20000,RENT,3.0,MEDICAL,B,3600,11.71,0,0.18,N,4,0.43738605414654996
25,21600,RENT,3.0,PERSONAL,B,3600,10.99,0,0.17,N,4,0.3004688017293429
24,24000,RENT,1.0,DEBTCONSOLIDATION,A,3600,6.62,1,0.15,N,4,0.23929798195479818
23,36000,MORTGAGE,7.0,VENTURE,C,4800,13.06,0,0.13,Y,2,0.032063359316886676
21,24000,RENT,,EDUCATION,B,3600,11.99,0,0.15,N,3,0.20608944327656759
26,24000,RENT,0.0,MEDICAL,D,3600,14.96,1,0.15,N,4,0.8642926561912331
23,24216,RENT,1.0,EDUCATION,D,3600,16.49,1,0.15,N,3,0.7567445916817872
21,24996,RENT,1.0,MEDICAL,D,3600,14.09,1,0.14,N,3,0.8739800587417668
21,26400,RENT,0.0,DEBTCONSOLIDATION,C,3600,14.27,0,0.14,Y,3,0.4773653313350432
26,30000,RENT,3.0,MEDICAL,D,3600,15.99,1,0.12,N,4,0.8084478003013528
23,30000,RENT,3.0,PERSONAL,A,3600,5.99,0,0.12,N,2,0.10232664404563013
24,30000,RENT,0.0,PERSONAL,A,3600,7.49,0,0.12,N,4,0.11153906359659625
22,30000,RENT,2.0,DEBTCONSOLIDATION,B,3600,10.99,0,0.12,N,3,0.3279845747032358
24,30000,RENT,1.0,VENTURE,A,3600,8.49,0,0.12,N,3,0.07421753215466141
22,36000,MORTGAGE,2.0,VENTURE,B,7750,9.99,0,0.22,N,4,0.04207045027565231
23,36000,MORTGAGE,7.0,DEBTCONSOLIDATION,C,15800,13.72,0,0.44,Y,4,0.6377306916831011
23,30000,RENT,4.0,PERSONAL,C,3600,14.17,0,0.12,N,3,0.25063640053309494
23,30000,RENT,0.0,VENTURE,A,3600,6.17,0,0.12,N,2,0.07349235033432515
22,36000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,1800,6.17,0,0.05,N,4,0.033466531572952735
24,36000,MORTGAGE,8.0,PERSONAL,A,4800,6.91,0,0.13,N,3,0.02019808487221963
22,30000,RENT,0.0,VENTURE,B,3600,12.21,0,0.12,N,3,0.14180473997964724
23,30000,RENT,7.0,EDUCATION,B,3600,9.7,0,0.12,N,3,0.14329776507999822
22,36000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,10000,5.42,0,0.28,N,3,0.12152247142604637
22,31000,RENT,4.0,VENTURE,B,3600,12.69,0,0.12,N,3,0.13302012689255574
23,36000,OWN,1.0,VENTURE,A,1800,6.54,0,0.05,N,4,0.006315996084689987
25,31200,RENT,0.0,DEBTCONSOLIDATION,A,3600,8.9,0,0.12,N,2,0.19629910656249283
23,36000,OWN,1.0,MEDICAL,C,14600,12.61,0,0.41,Y,2,0.5282392759106991
23,36000,OWN,7.0,EDUCATION,B,6000,8.88,0,0.17,N,2,0.0218034612285443
25,31800,RENT,2.0,PERSONAL,A,3600,7.51,0,0.11,N,3,0.11332527197767198
24,32000,RENT,9.0,MEDICAL,A,3600,7.49,0,0.11,N,3,0.15752817687992812
23,32000,RENT,6.0,PERSONAL,A,3600,9.63,0,0.11,N,3,0.09966429709541816
25,33000,RENT,4.0,MEDICAL,B,3600,10.0,1,0.11,N,3,0.2931553049621211
22,35000,RENT,0.0,PERSONAL,B,3600,11.83,0,0.1,N,3,0.22461748125952385
22,36000,MORTGAGE,2.0,PERSONAL,A,12000,7.51,0,0.33,N,4,0.2689629997388182
25,36000,RENT,2.0,EDUCATION,C,3600,15.23,0,0.1,N,4,0.13413650265123397
22,36000,RENT,2.0,EDUCATION,C,3600,12.99,0,0.1,N,2,0.1352030619062291
25,36000,MORTGAGE,5.0,PERSONAL,A,6000,7.88,0,0.17,N,4,0.024964443157062595
22,36000,RENT,3.0,PERSONAL,A,3600,5.99,0,0.1,N,2,0.06212148603586034
24,36000,RENT,1.0,DEBTCONSOLIDATION,A,3600,7.29,0,0.1,N,2,0.11808063493587181
26,36000,MORTGAGE,2.0,PERSONAL,B,10000,10.75,0,0.28,N,2,0.14382478522437958
23,30000,MORTGAGE,4.0,MEDICAL,D,4000,16.32,1,0.13,Y,4,0.6226032442850148
22,37008,RENT,2.0,EDUCATION,B,3600,12.42,0,0.1,N,4,0.10040577497328716
23,36000,OWN,,VENTURE,A,18000,7.88,0,0.5,N,2,0.12086517871338984
22,38400,RENT,6.0,DEBTCONSOLIDATION,B,3600,12.69,0,0.09,N,3,0.18932264492104706
23,38400,RENT,7.0,DEBTCONSOLIDATION,C,3600,13.61,0,0.09,N,3,0.231111981187805
24,36000,MORTGAGE,8.0,VENTURE,A,3250,6.39,0,0.09,N,2,0.012194822344161775
24,36000,MORTGAGE,3.0,MEDICAL,C,8000,13.61,0,0.22,N,2,0.13125935583084983
22,36000,OWN,6.0,EDUCATION,D,12000,15.21,0,0.33,Y,3,0.7486300847219308
22,36000,MORTGAGE,6.0,PERSONAL,D,1400,14.84,0,0.04,Y,4,0.251651088724019
26,36000,MORTGAGE,6.0,PERSONAL,A,4000,6.76,0,0.11,N,3,0.018456308557542357
25,33772,RENT,3.0,HOMEIMPROVEMENT,D,3600,16.02,1,0.11,Y,2,0.7993482071671262
23,40000,RENT,3.0,DEBTCONSOLIDATION,C,3600,15.96,0,0.09,Y,4,0.23966185340370819
22,36000,MORTGAGE,0.0,MEDICAL,A,4500,7.51,0,0.13,N,2,0.04450740052934737
24,40000,RENT,1.0,MEDICAL,C,3600,13.49,0,0.09,N,3,0.2534201558351894
25,36000,MORTGAGE,5.0,VENTURE,E,4800,17.93,0,0.13,N,3,0.2736649949777892
21,40000,RENT,5.0,MEDICAL,A,3600,5.42,0,0.09,N,4,0.09605725222353893
26,36000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,5400,7.51,0,0.15,N,4,0.03281007790132865
25,36000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,9000,7.14,0,0.25,N,4,0.06504212051601732
23,36000,MORTGAGE,3.0,VENTURE,B,4800,10.38,0,0.13,N,4,0.025277642524386593
24,40000,RENT,0.0,EDUCATION,B,3600,10.59,0,0.09,N,2,0.10127784496946532
23,36000,OWN,3.0,EDUCATION,A,8500,7.51,0,0.24,N,3,0.014745194575960996
22,40000,RENT,0.0,PERSONAL,A,3600,6.17,0,0.09,N,2,0.0701227611257321
24,40000,RENT,2.0,DEBTCONSOLIDATION,B,3600,11.12,0,0.09,N,3,0.2058823902701457
22,36000,MORTGAGE,6.0,VENTURE,A,7500,7.14,0,0.21,N,3,0.018487328395822348
25,36000,MORTGAGE,3.0,VENTURE,B,5000,,0,0.14,N,4,0.02573746065454264
22,36000,MORTGAGE,1.0,EDUCATION,A,6000,7.51,0,0.17,N,4,0.023987420310882274
22,42000,RENT,0.0,VENTURE,C,3600,14.72,0,0.09,Y,4,0.1071213552992193
23,36000,OWN,2.0,VENTURE,B,15000,11.36,0,0.42,N,4,0.22263636089228783
23,37000,RENT,7.0,EDUCATION,A,11000,6.62,0,0.3,N,3,0.14637101998421925
23,37440,RENT,0.0,VENTURE,B,11000,,0,0.29,N,2,0.24664643238394893
24,37950,RENT,8.0,EDUCATION,B,11000,11.86,0,0.29,N,2,0.25498973426501415
24,36000,MORTGAGE,4.0,VENTURE,D,2000,14.96,0,0.06,N,2,0.239021283613984
26,36000,OWN,,PERSONAL,B,15000,10.25,0,0.42,N,2,0.30563025890026696
22,39500,RENT,3.0,DEBTCONSOLIDATION,C,11000,12.68,0,0.28,Y,2,0.5371301468424563
23,39500,RENT,7.0,MEDICAL,A,11000,,0,0.28,N,2,0.28249131333517724
23,39520,RENT,8.0,PERSONAL,A,11000,5.42,0,0.28,N,2,0.17975238564805573
22,39996,RENT,3.0,PERSONAL,A,11000,5.79,0,0.28,N,2,0.1948227550879867
22,34000,RENT,2.0,HOMEIMPROVEMENT,D,11000,15.99,1,0.32,N,3,0.9489229715258671
22,41000,RENT,2.0,DEBTCONSOLIDATION,B,11000,12.18,0,0.27,N,4,0.4900698109823215
24,41280,RENT,3.0,VENTURE,D,11000,15.28,0,0.27,N,3,0.7607984262059985
26,36000,MORTGAGE,10.0,PERSONAL,B,10000,9.88,0,0.28,N,3,0.12443956132050475
25,36000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,7000,12.73,0,0.19,Y,2,0.13135692020962636
23,36000,MORTGAGE,,EDUCATION,A,10000,7.14,0,0.28,N,3,0.05778345729131154
21,41808,RENT,5.0,EDUCATION,E,11000,17.19,0,0.26,Y,3,0.8355991053650985
22,42000,RENT,3.0,PERSONAL,B,11000,11.71,0,0.26,N,2,0.3266767960808021
21,36000,RENT,3.0,HOMEIMPROVEMENT,B,11000,10.37,1,0.31,N,4,0.42861848949938025
23,36000,RENT,0.0,VENTURE,C,11000,13.11,1,0.31,Y,3,0.2978364154370001
21,36000,OWN,5.0,EDUCATION,C,8800,13.85,0,0.24,N,2,0.03981777289440385
24,30000,MORTGAGE,,HOMEIMPROVEMENT,C,10000,14.22,1,0.33,Y,3,0.7284590347997775
24,43000,RENT,9.0,EDUCATION,A,11000,8.94,0,0.26,N,3,0.1514784286074712
25,44975,RENT,2.0,MEDICAL,A,11000,6.99,0,0.24,N,4,0.1657130929766993
26,45000,RENT,3.0,DEBTCONSOLIDATION,A,11000,6.99,0,0.24,N,2,0.162185485975734
25,45000,RENT,2.0,DEBTCONSOLIDATION,B,11000,9.25,0,0.24,N,2,0.3008724640828786
23,36000,OWN,2.0,VENTURE,C,5000,12.87,0,0.14,Y,3,0.021469601557492057
25,36000,MORTGAGE,0.0,MEDICAL,C,5400,14.26,0,0.15,N,3,0.10845344186900316
22,45000,RENT,6.0,MEDICAL,B,11000,9.88,0,0.24,N,2,0.2642962711761898
26,45000,RENT,10.0,PERSONAL,D,11000,14.61,0,0.24,N,2,0.6835314471471712
22,36000,OWN,4.0,EDUCATION,D,5000,14.61,0,0.14,N,2,0.1869017344240195
22,45504,RENT,2.0,DEBTCONSOLIDATION,B,11000,10.99,0,0.24,N,2,0.31201251754667403
22,46000,RENT,3.0,EDUCATION,B,11000,10.59,0,0.24,N,3,0.14647444195587866
24,36000,MORTGAGE,3.0,PERSONAL,B,4750,11.83,0,0.13,N,3,0.04208236193508706
22,46000,RENT,4.0,PERSONAL,A,11000,7.49,0,0.24,N,4,0.10097603569302979
24,47160,RENT,5.0,VENTURE,B,11000,11.14,0,0.23,N,4,0.1065604094291752
25,48000,RENT,8.0,MEDICAL,A,11000,7.51,0,0.23,N,4,0.1440631308784204
23,30000,MORTGAGE,4.0,VENTURE,D,9500,15.31,1,0.32,N,2,0.6778281859628549
22,48000,RENT,2.0,EDUCATION,B,11000,10.75,0,0.23,N,4,0.15690079401894058
25,48996,RENT,9.0,EDUCATION,A,11000,7.88,0,0.22,N,2,0.07354430588899298
24,49278,RENT,4.0,VENTURE,C,11000,13.22,0,0.22,N,2,0.12982227054265544
22,50000,RENT,1.0,MEDICAL,A,11000,,0,0.22,N,2,0.1544034329429611
22,50000,RENT,6.0,EDUCATION,C,11000,13.49,0,0.22,Y,4,0.1434673103545877
23,36000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,3000,13.22,0,0.08,N,4,0.09852178738621514
21,50000,RENT,4.0,EDUCATION,B,11000,10.0,0,0.22,N,3,0.12757620934802064
25,50000,RENT,0.0,EDUCATION,B,11000,12.53,0,0.22,N,2,0.13365214896019656
26,44000,RENT,4.0,DEBTCONSOLIDATION,D,11000,15.31,1,0.25,N,2,0.8195781427066057
22,50985,RENT,4.0,EDUCATION,C,11000,13.11,0,0.22,N,2,0.1661938729919996
22,36000,MORTGAGE,3.0,MEDICAL,B,6000,12.53,0,0.17,N,2,0.08961441771897914
26,36000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6350,8.94,0,0.18,N,4,0.05567237033099693
26,46000,RENT,3.0,MEDICAL,D,11000,16.29,1,0.24,Y,3,0.7961687550420998
21,52769,RENT,5.0,EDUCATION,B,11000,10.37,0,0.21,N,4,0.11080561708947557
26,53004,RENT,10.0,HOMEIMPROVEMENT,A,11000,5.79,0,0.21,N,4,0.1076516310898329
23,30000,MORTGAGE,7.0,MEDICAL,C,10000,13.79,1,0.33,N,2,0.7343829011629261
23,54996,RENT,2.0,MEDICAL,C,11000,,0,0.2,N,2,0.3020755065885458
23,30000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,1000,9.32,1,0.03,N,4,0.05478114103498792
23,56000,RENT,3.0,DEBTCONSOLIDATION,A,11000,7.49,0,0.2,N,4,0.12170907715142323
21,36000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,8000,9.32,0,0.22,N,3,0.06677990876695662
26,58195,RENT,3.0,PERSONAL,B,11000,9.91,0,0.19,N,2,0.131946995473258
22,59000,RENT,2.0,EDUCATION,B,11000,10.74,0,0.19,N,2,0.12315157387988707
24,36000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,6400,9.38,0,0.18,N,4,0.043989073639330016
23,60000,RENT,1.0,EDUCATION,C,11000,14.22,0,0.18,N,4,0.15690628703607873
22,36000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,10000,8.32,0,0.28,N,3,0.14135696589435112
24,65000,RENT,5.0,HOMEIMPROVEMENT,A,11000,7.51,0,0.17,N,4,0.08678175668717605
26,36000,MORTGAGE,10.0,PERSONAL,B,18000,10.39,0,0.5,N,2,0.4208743402685194
26,36000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,6000,12.29,0,0.17,Y,4,0.09303972397709173
24,36000,MORTGAGE,3.0,EDUCATION,B,8000,9.83,0,0.22,N,3,0.047764853080114626
24,69996,RENT,9.0,DEBTCONSOLIDATION,B,11000,11.86,0,0.16,N,3,0.1819241044151985
26,70000,RENT,5.0,HOMEIMPROVEMENT,A,11000,6.62,0,0.16,N,4,0.08568950911401362
22,71200,RENT,2.0,VENTURE,B,11000,12.42,0,0.15,N,2,0.05997654512398692
25,80004,RENT,9.0,HOMEIMPROVEMENT,C,11000,12.53,0,0.14,N,4,0.13934975769317867
23,81600,RENT,3.0,PERSONAL,B,11000,,0,0.13,N,3,0.07553848463449639
24,85000,RENT,1.0,MEDICAL,A,11000,6.91,0,0.13,N,2,0.07344639012824054
21,87000,RENT,5.0,MEDICAL,B,11000,11.58,0,0.13,N,2,0.08557761123186337
24,90000,RENT,2.0,EDUCATION,B,11000,11.14,0,0.12,N,3,0.03982823219257182
26,36194,MORTGAGE,10.0,PERSONAL,B,9250,10.08,0,0.26,N,3,0.12443956132050475
24,100000,RENT,6.0,DEBTCONSOLIDATION,A,11000,5.42,0,0.11,N,4,0.03887569091333963
25,30252,MORTGAGE,9.0,PERSONAL,B,10000,9.76,1,0.33,N,3,0.5361785285019275
23,116000,RENT,7.0,VENTURE,A,11000,8.94,0,0.09,N,2,0.01554863181226712
21,30297,MORTGAGE,5.0,HOMEIMPROVEMENT,C,7550,13.22,1,0.25,Y,4,0.20071653568576164
25,36300,MORTGAGE,5.0,VENTURE,A,9000,6.99,0,0.25,N,2,0.019686595517773808
25,30300,MORTGAGE,4.0,MEDICAL,B,5000,10.0,1,0.17,N,2,0.17794908305901216
25,120000,RENT,9.0,DEBTCONSOLIDATION,B,11000,12.18,0,0.09,N,4,0.08446078597247329
26,125000,RENT,1.0,MEDICAL,C,11000,12.98,0,0.09,Y,4,0.11736243697426638
22,36396,MORTGAGE,6.0,EDUCATION,B,5500,11.12,0,0.15,N,3,0.03269763978556315
24,47230,RENT,8.0,VENTURE,A,10950,6.91,0,0.23,N,2,0.0571714834841851
22,30400,MORTGAGE,2.0,VENTURE,C,9950,15.27,1,0.33,N,4,0.5441044483076711
22,60000,RENT,5.0,PERSONAL,D,10900,15.65,0,0.18,N,2,0.633622101490991
22,35500,RENT,6.0,HOMEIMPROVEMENT,C,10875,12.84,1,0.31,N,4,0.492014768310951
25,36400,MORTGAGE,4.0,VENTURE,C,11000,12.29,0,0.3,N,3,0.12065100999615361
21,33000,RENT,2.0,EDUCATION,C,10800,12.23,1,0.33,N,3,0.8191464552197572
24,34000,RENT,3.0,PERSONAL,D,10800,14.42,1,0.32,Y,4,0.9002060266140175
22,36480,RENT,2.0,VENTURE,B,10800,8.88,0,0.3,N,4,0.23868865280940188
26,33996,RENT,2.0,PERSONAL,B,10800,11.12,1,0.32,N,3,0.49360574862086287
24,36500,MORTGAGE,3.0,VENTURE,B,2500,10.37,0,0.07,N,3,0.026618836233711737
24,40000,RENT,0.0,DEBTCONSOLIDATION,A,10800,6.92,0,0.27,N,4,0.3201423103365915
24,43680,RENT,1.0,VENTURE,A,10800,5.42,0,0.25,N,2,0.06835772353600571
26,45000,RENT,0.0,MEDICAL,A,10800,6.17,0,0.24,N,3,0.17058639539320428
24,45996,RENT,2.0,VENTURE,C,10800,13.16,0,0.23,N,4,0.15827999192080663
23,30500,MORTGAGE,6.0,MEDICAL,D,3000,14.96,1,0.1,Y,2,0.5907368476797066
25,36500,MORTGAGE,7.0,DEBTCONSOLIDATION,A,3200,9.63,0,0.09,N,3,0.03712698220757058
24,36500,MORTGAGE,0.0,EDUCATION,C,7000,13.16,0,0.19,Y,4,0.06539723515198836
26,42000,RENT,2.0,PERSONAL,C,10800,13.99,1,0.26,N,2,0.41607910530221665
26,30576,MORTGAGE,10.0,MEDICAL,D,3000,14.46,1,0.1,Y,2,0.5877349272945969
26,36588,MORTGAGE,,DEBTCONSOLIDATION,B,10000,10.65,0,0.27,N,3,0.22215643030934407
22,36600,MORTGAGE,2.0,DEBTCONSOLIDATION,A,9950,7.29,0,0.27,N,3,0.14008691633958945
25,50000,RENT,2.0,VENTURE,B,10800,10.75,0,0.22,N,3,0.10551205432908205
26,36636,MORTGAGE,,MEDICAL,A,5000,6.03,0,0.14,N,2,0.0370002625533412
21,36648,MORTGAGE,,DEBTCONSOLIDATION,B,7125,9.91,0,0.19,N,2,0.10861239990813344
22,44400,RENT,2.0,PERSONAL,E,10800,18.79,1,0.24,N,3,0.7802074025345209
23,55000,RENT,2.0,MEDICAL,B,10800,8.88,0,0.2,N,2,0.23906220002373166
25,55000,RENT,2.0,VENTURE,C,10800,13.57,0,0.2,N,2,0.1331623541156294
25,30780,MORTGAGE,,MEDICAL,A,5500,8.49,1,0.18,N,4,0.09929669581553947
21,36800,MORTGAGE,5.0,EDUCATION,A,12400,7.51,0,0.34,N,4,0.21792336527656647
21,57000,RENT,0.0,EDUCATION,C,10800,13.22,0,0.19,N,3,0.16275990487346786
21,57000,RENT,6.0,HOMEIMPROVEMENT,D,10800,16.77,1,0.19,N,4,0.7265115252107406
25,68000,RENT,9.0,VENTURE,B,10800,10.74,0,0.16,N,2,0.06948863485569032
24,36852,MORTGAGE,,EDUCATION,B,6000,9.99,0,0.16,N,4,0.040312350988128666
23,72000,RENT,3.0,MEDICAL,A,10800,7.88,0,0.15,N,2,0.07269923401740265
26,69000,RENT,11.0,HOMEIMPROVEMENT,A,10800,7.51,1,0.16,N,4,0.08122157861347402
23,58650,RENT,7.0,MEDICAL,D,10800,16.29,1,0.16,N,3,0.7269158000913539
22,36933,MORTGAGE,2.0,VENTURE,C,10000,12.22,0,0.27,Y,4,0.1190662296947769
22,75000,RENT,0.0,MEDICAL,B,10800,9.62,0,0.14,N,3,0.14154396272366165
25,62165,RENT,2.0,MEDICAL,D,10800,15.65,1,0.15,Y,4,0.6758459584863145
23,115000,RENT,0.0,PERSONAL,C,10800,14.65,0,0.09,N,4,0.07682274021939434
23,36996,OWN,4.0,MEDICAL,A,10000,7.51,0,0.27,N,3,0.07240136622753846
